Student Name, Student Number,Semester:1 Period:1, Room,Semester:1 Period:2, Room,Semester:1 Period:3, Room,Semester:1 Period:4, Room,Semester:2 Period:1, Room,Semester:2 Period:2, Room,Semester:2 Period:3, Room,Semester:2 Period:4, Room,
"Sherry,Anastasie",416880792,ENG4U1,2010A,BBB4M1,2027,ICS4U1,2038,SPARE,Cafeteria,IDC4U3,PB8,SPARE,Cafeteria,MCV4U1,PB3,BAT4M1,1062,
"Ginnie,Ainslee",429279701,FSF3U1,PB6,PAF3O9,1013,SPH3U1,1044,PSK4U1,1061,ICS3U6,2038A,SCH3U6,2011,AMI3M1,1069,MCR3U6,2025,
"Andreana,Christin",490155380,MHF4U1,PB4,SBI4UE,1031,ICS4U1,2038,MDM4U1,2025,SPH4U1,2044,IDC4UE,PB8,ENG4UE,2034,MCV4U1,PB4,
"Ethelin,Cloris",476843049,ENG3U1,PB3,SPH3U1,2036,TDJ3M1,1037,SPARE,Cafeteria,AVI3M1,2005,SCH3U1,2023,MCR3U1,PB6,DCO3OC,1059,
"Corey,Annabella",495947207,SNC2D1,1035,FSF2D1,2028,SBI3U6,1031,CHC2D1,2037,CHC2D1,2036,ENG2D1,1059A,HSP3U1,2024A,SNC2D1,1035,
"Joan,Gilberte",400832425,MDM4UE,1061,SPH3U1,2036,SBI3U6,1031,ENG3UE,1063,HSP3U1,2024A,SCH3U6,2011,CLU3M1,1059,MCR3U6,2025,
"Esmeralda,Marigold",423336299,CIVCAR,PB11,ICS2O1,2038,CHC2D1,2036,PPL2O9,1024B,ENG2D1,1034,SNC2D1,1035,MPM2D1,2007,PAF2O9,1013,
"Rennie,Lynne",451529400,TIJ1O1,2002A,ADA1O1,1070,ENG1D1,2035,SNC1D1,1050,MTH1W1,1036,PPL1O8,1024B,FSF1D1,1033,CGC1D1,2010,
"Agnesse,Stephani",434989500,SNC1D7,1065,ENG1D1,2035,AMI1O1,1069,FSF1D1,1033,CGC1D1,2009,TIJ1O1,2002A,MTH1W7,1065,PAI1O1,2028,
"Nessa,Christin",499449239,FSF3U1,PB6,ENG3U1,2009,ICS4U1,2038,SPH3U1,2044,TEJ3M1,1037,HFC3M1,1014,AMI3M1,1069,MCR3U1,2037,
"Kelley,Nonie",474344470,ENG2D1,1059A,BBI2O7,1065,SNC2D1,1035,IDC3OE,1065,PPL2O8,1024B,CHC2D1,2036,MCR3U1,PB6,SNC2D1,1035,
"Brynne,Trenna",410531883,SBI4U1,1055,SCH4U1,2018,SPH4U1,2044,ENG4U1,2006,SBI4U1,1055,AWC4M1,2005,MCV4U1,PB4,SPARE,Cafeteria,
"Dari,Nicolea",428493266,SPH4U1,2044,SCH4U1,2023,ICS4U1,2038,PSK4U1,1061,MCV4U1,PB4,SPARE,Cafeteria,MCV4U1,PB3,PPL4O9,1024B,
"Emiline,Sean",468523957,ENG2D1,1059A,BBI2O7,1065,CIVCAR,PB11,IDC3OE,1065,FSF1D1,1033,CHC2D1,2036,SNC2D2,1044,MPM2D2,PB5,
"Natassia,Verla",454146893,BBI2O1,PB10,CIVCAR,PB11,HFN2O1,1014,MPM2D1,2007,SNC2D1,1035,CHC2D1,2036,ENG2D1,1034,AVI2O1,2004,
"Minni,Tammy",441383443,SPARE,Cafeteria,ENG2D1,1034,BBI2O1,PB10,EMPTY,Cafeteria,GLE4O1,1060,HFC3M1,1014,MCR3U1,PB6,ENG3U1,2009,
"Marigold,Kayley",406132821,SNC1DG,2011,PPL1O8,1024A,AVI1O1,2004,HIF1O1,2027,ENG1DG,2027,FSF1DG,1059,CGC1DG,2026,AMI1O1,1069,
"Kalie,Cassey",425294141,SNC1D1,1050,ADA1O1,1070,MTH1W1,2010A,BTT1O1,2024,FSF1D1,1033,MTH1W1,PB1,ENG1D1,2035,FSF1D1,1033,
"Marianna,Amalea",436951661,SNC2D1,1035,ENG2D1,1034,TGJ2O1,1032,FSF2D1,2028,CIVCAR,2010,ADB2O1,1070,MPM2D1,2007,BBI2O1,PB10,
"Krystyna,Tiff",496709117,PAI1O1,2028,ADA1O1,1070,HIF1O1,2027,HIF1O1,2027,MTH1W1,2010A,FSF1P1,2024A,SNC1D1,2011,ENG1D1,2035,
"Petrina,Elfrida",499813805,SPARE,Cafeteria,SPARE,Cafeteria,EMPTY,Cafeteria,EMPTY,Cafeteria,SPARE,Cafeteria,EMPTY,Cafeteria,EMPTY,Cafeteria,EMPTY,Cafeteria,
"Merrill,Peria",475065402,ICS4UE,2038A,PAF3O9,1013,SCH3U1,1044,SPH3U1,2044,ENG3U1,2008,DCO3OC,2028,MDM4UE,1061,SCH3U1,1055,
"Dorie,Sibilla",455600972,HSP3U1,2024A,COP3X#,2001,ENG3U1,2009,HSP3U1,2024A,SCH3U1,1044,HFC3M1,1014,SBI3U1,1031,MCR3U1,2037,
"Elsie,Tish",439548510,PAI1O1,2028,ADA1O1,1070,ENG1D1,2035,MTH1W1,2010A,CGC1D1,2009,SNC1D1,1050,FSF1D1,1033,HIF1O1,2027,
"Shirley,Rena",414046403,CGC1D1,2009,ADA1O1,1070,FSF1P1,2024A,BTT1O1,2024,ENG1D1,PB11,SNC1D1,1050,MTH1W1,1036,CGC1D1,2010,
"Bobbee,Vernice",486497418,ENG3U1,PB3,PAF3O9,1013,AWC3O1,2005,HFC3M1,1014,SCH3U1,2023,MCF3M1,PB5,SBI3U1,1031,ADA3M1,1070,
"Caron,Nicolette",492731682,ENG1DG,2027,BTT1O1,2024,CGC1DG,2026,FSF1DG,1059,PAI1O1,2028,TIJ1O1,2002A,AVI1O1,2004,MTH1WG,2026,
"Ruthe,Annora",419879291,BBI2O1,PB10,HFN2O1,1014,SNC2D1,1035,ENG2D1,1059A,CIVCAR,2010,ADB2O1,1070,CHC2D1,2036,SNC2D1,1035,
"Larisa,Zondra",458345260,CIVCAR,PB11,AVI2O1,2004,MPM2D1,2007,CHC2D1,1061,ENG2D1,1034,AMI2O1,1069,FSF2D1,2028,SNC2D1,1035,
"Xylina,Halette",414173392,SPARE,Cafeteria,COP3X#,2001,SPARE,Cafeteria,ENG3UE,1063,CLU3M1,1059,BMI3C1,1061,BAF3M1,2024,CLN4U1,PB9,
"Tammara,Mariejeanne",461233149,SCH4U1,2023,MHF4U1,PB5,FSF4U1,1060,SBI4U1,2011,SPARE,Cafeteria,MCV4U1,PB3,ENG4U1,2010A,SPARE,Cafeteria,
"Jenica,Charmine",485506163,ENG1D1,2035,ADA1O1,1070,CGC1D1,2010,AVI1O1,2004,MTH1W1,PB1,SNC1D1,1050,FSF1D1,1033,PAI1O1,2028,
"Twila,Henryetta",433846623,CIVCAR,PB11,CHC2DG,2034,BAF3M1,2024,ENG2D1,1034,SCH3U1,1044,SBI3U1,1055,SNC2D2,1044,MPM2D2,PB5,
"Liuka,Neda",432404801,CLU3M1,1059,BBB4M1,2027,MCR3U6,2025,CIA4UE,PB4,CLU3M1,1059,ENG3UE,1063,FSF3U1,PB6,SBI3U1,1031,
"Carlee,Elmira",422631862,PAI1O1,2028,ADA1O1,1070,FSF1D1,1033,MTH1W1,2010A,SNC1D1,1050,BTT1O1,1033,ENG1D1,2035,PAI1O1,2028,
"Clarinda,Aurora",484219989,HSP3U1,2024A,SPH3U1,2036,ENG3U1,2009,SCH3U6,1044,SBI3U6,1031,HFC3M1,1014,MCR3U6,2025,TEJ3M1,2002A,
"Ninnetta,Liesa",477060321,SBI3U1,1031,MCR3U1,PB10,ENG3U1,2009,AWL3M1,2005,AVI3M1,2005,HFC3M1,1014,BAF3M1,2024,TDJ3M1,1037,
"La Verne,Jocelyn",448125477,ENG4C1,PB3,COP3X#,2001,SPARE,Cafeteria,EMPTY,Cafeteria,EMPTY,Cafeteria,SBI3C1,1031,SPARE,Cafeteria,SPARE,Cafeteria,
"Verina,Eada",433400133,SPH4U1,2044,ENG4U1,2007,SCH4U1,2023,IDC4U1,PB8,ENG4U1,2006,SPARE,Cafeteria,SBI4U1,1055,SPARE,Cafeteria,
"Estel,Adeline",459508731,HSP3U1,2024A,SPH3U1,2036,MCR3U1,PB2,ICS3U1,2038,SCH3U1,1044,BAF3M1,2024,SBI3U1,1031,ENG3U1,2009,
"Hephzibah,Denise",418760812,SBI4U1,1055,SCH4U1,2023,MHF4U1,PB5,IDC4U1,PB8,SPARE,Cafeteria,SPH4U1,2044,MCV4U1,PB4,PPL4O9,1024B,
"Hyacinthia,Elonore",453434266,ENG1DG,2027,ADA1O1,1070,FSF1DG,1059,CGC1DG,2026,PAI1O1,2028,MTH1WG,2026,EMPTY,Cafeteria,HIF1O1,2027,
"Margarethe,Sheela",409733360,SNC1D7,1065,CGC1D1,2010,FSF1D1,1033,ENG1D1,2035,BTT1O1,2024,TIJ1O1,2002A,MTH1W7,1065,PPL1O9,1024A,
"Madalyn,Moyna",416286797,TEJ3M1,1037,ENG3U1,2009,AWC3O1,2005,SPH3U1,2044,SCH3U1,2023,SBI3U1,1055,ICS3U6,2038A,MCR3U6,2025,
"Gladys,Henryetta",433166670,SCH4U1,2023,BAT4M1,1062,ICS4U1,2038,ENG4U1,2006,SPH4U1,2044,MCV4U1,PB3,TGV4M1,1032,SPARE,Cafeteria,
"Catina,Misti",441567987,ENG3U1,PB3,COP3X9,2001,SPARE,Cafeteria,SCH3U1,1050,EMPTY,Cafeteria,MCF3M1,PB5,SBI3U1,1031,SCH3U1,1055,
"Jasmine,Doralynn",498916635,FSF3U1,PB6,COP3X9,2001,SPH3U1,1044,SPH3U1,2044,SCH3U1,2023,MCR3U1,2037,SBI4U1,1055,SPH3U1,2023,
"Ranique,Sarita",479501372,SPH4U1,2044,SCH4U1,2018,HHG4M1,1062,ENG4U1,2006,SCH4U1,1044,MDM4U1,2025,SBI4U1,1055,SPARE,Cafeteria,
"Kristine,Charla",478845990,ENG4U1,2006,ENG4U1,2007,HSB4U1,PB9,HZT4U1,1062,ENG4U1,2006,EWC4U1,2034,AVI4M1,2005,EMPTY,Cafeteria,
"Milzie,Joby",484228210,MHF4U1,PB2,SCH4U1,2023,SPH4U1,2044,SPARE,Cafeteria,ENG4U1,2006,MCV4U1,PB4,AVI4M1,2005,BAT4M1,1062,
"Wynnie,Jaquenette",434481482,ENG4U1,2006,MHF4U1,PB2,SCH4U1,2023,ADB4M1,1070,ADA4M1,1070,SPH4U1,2044,MCV4U1,PB3,SPH4U1,2044,
"Bekki,Cyb",411830332,ICS4UE,2038A,ICS3U6,2038A,MHF4U1,PB5,SBI3U1,1031,ENG3U1,2008,SPH4U1,2044,MCV4U1,PB4,SCH3U1,1055,
"Hattie,Vilma",456403846,ENG4U1,2010A,SBI4UE,1031,EMPTY,Cafeteria,SPARE,Cafeteria,MDM4U1,2025,SPH4U1,2044,ENG4U1,2006,ICS4UE,2038A,
"Marcela,Deanna",467159905,AMI2O1,1069,SNC2D1,1035,ENG2D1,1034,CHC2D1,1061,EMPTY,Cafeteria,AWC2O1,2004,CIVCAR,PB11,AWJ2O1,2005,
"Minnaminnie,Terrye",471088299,IDC4U3,PB8,MHF4U1,PB2,CIA4U1,PB4,SPARE,Cafeteria,MCV4U1,PB4,SPARE,Cafeteria,ENG4U1,2010A,BAT4M1,1062,
"Christal,Charita",497036640,EMPTY,Cafeteria,SNC2D1,1035,ESLEO1,1063,CGC1D1,2010,ESLDO1,2034,CHC2P1,PB9,SNC1D1,2011,PAI2O1,PB6,
"Helge,Celestyn",493309350,SPH3U1,1050,EMPTY,Cafeteria,MCR3U1,PB2,AWL3M1,2005,ENG4U1,2006,TGV3M1,1032,BAF3M1,2024,ENG3U1,2008,
"Melva,Liza",490511869,SNC2D1,1035,ENG2D1,1034,CIVCAR,PB11,CHC2D1,1061,SBI3U6,1031,MPM2D1,2007,CHC2D1,2037,PAI2O1,PB6,
"Kerrill,Sonny",450083351,ENG2D1,1059A,FSF2D1,2028,BBI2O1,PB10,SCH3U1,1050,CHC2D1,2036,AMI2O1,1069,CHC2D1,2037,SNC2D1,1036,
"Nicol,Kitty",450697753,SNC1P1,1044,GLE1O1,1063,FSF1P1,2024A,ENG1P1,PB2,MTH1W1,PB1,FSF1P1,2024A,AVI1O1,2004,FSF1P1,2024A,
"Mag,Lorette",425810341,CLU3M1,1059,ENG3U1,2009,MCR3U1,PB2,ENG3U1,2008,HSP3U1,2024A,DCO3OC,2028,SBI3U1,1031,SBI3U1,1031,
"Laurena,Tonye",431667581,HFA4U1,1014,SCH4U1,2018,SBI4U1,1055,MDM4U1,2025,HHG4M1,1062,ENG3U1,2008,ENG4U1,2006,SPARE,Cafeteria,
"Britteny,Donny",492146078,AVI2O1,2004,SNC2D1,1036,CHC2D1,2036,ENG2D1,1034,IDC3OE,1065,CIVCAR,PB11,MPM2D1,2007,BBI2O7,1065,
"Leelah,Jennee",403478720,SPARE,Cafeteria,BOH4M1,PB9,SPARE,Cafeteria,ENG4U1,2006,IDC4U3,PB8,MCV4U1,PB4,BBB4M1,2027,PPL4O9,1024B,
"Harley,Dionne",430938494,MTH1WG,2026,ENG1DG,1059,SNC1DG,2011,AMI1O4,1069,BTT1O1,2024,FSF1DG,1059,CGC1DG,2026,PPL1O9,1024A,
"Chandal,Hannis",485829670,MDM4UE,1061,COP3X#,2001,SBI3U6,1031,SCH3U6,1044,ICS3U6,2038A,ENG3U1,2008,SPH3U1,2018,SPARE,Cafeteria,
"Vivia,Lucie",483175451,BAF3M1,2024,SCH3U1,1055,ENG3U1,2009,TEJ3M1,1037,SPH3U1,2018,SBI3U1,1055,FSF3U1,PB6,MCR3U6,2025,
"Sonja,Jermaine",451680819,MPM2D1,2008,ICS2O1,PB9,ENG2D1,1034,CHC2D1,2037,PPL2O8,1024B,BBI2O1,PB10,TEJ2O1,1037,ENG1D1,2035,
"Bonita,Donella",454802427,PPL1O9,1024A,CGC1D1,2010,MTH1W1,2010A,SNC1D1,1050,AVI1O1,2004,BTT1O1,1033,FSF1D1,1033,ENG1D1,2035,
"Kenna,Sephira",476769422,HSP3U1,2024A,IDC3O1,PB6,DCO3OC,2028,HFC3M1,1014,SPARE,Cafeteria,MCR3U1,2037,ENG3U1,2009,HPW3C1,PB2,
"Henka,Nicola",451078660,SNC1D1,1050,SNC1D1,2023,HIF1O1,2027,SNC1D1,1050,SNC1D1,1050,SNC1D1,1050,EMPTY,Cafeteria,EMPTY,Cafeteria,
"Merilyn,Lenka",455818189,ENG3U1,PB3,EMPTY,Cafeteria,DCO3OC,2028,HFC3M1,1014,SCH3U1,1044,MCF3M1,PB5,ENG3U1,2009,HPW3C1,PB2,
"Rosalie,Andy",438823630,HSP3U1,2024A,BMI3C1,1061,MCR3U6,2025,ENG3UE,1063,CLU3M1,1059,TGV3M1,1032,HZT4U1,1062,PAF2O9,1013,
"Lavina,Helenka",456252352,FSF1D1,1033,PPL1O8,1024A,FSF1D1,1033,AMI1O4,1069,SNC1D1,1050,CGC1D1,2009,MTH1W1,1036,AWJ2O1,2005,
"Haley,Malia",497032540,ICS4UE,2038A,SCH4U1,2018,MHF4U1,PB5,ENG4U1,2006,SPH4U1,2044,MCV4U1,PB4,HFA4U1,1014,SPARE,Cafeteria,
"Maisie,Halette",426891661,TIJ1O1,2002A,PPL1O8,1024A,MTH1W7,1065,ENG1D1,2035,FSF1D1,1033,SNC1D7,1065,AVI1O1,2004,CGC1D1,2010,
"Brenda,Yovonnda",428009603,MHF4U1,PB5,SCH4U1,2018,IDC4UE,PB8,SCH3U1,1050,SBI4U1,1055,SPARE,Cafeteria,HSB4U1,PB9,ENG4U1,2006,
"Gleda,Elisabet",462580368,SNC1P1,1044,ADA1O1,1070,TIJ1O1,2002A,ENG1P1,PB2,BTT1O1,2024,FSF1P1,2024A,MTH1W1,1036,CGC1P1,1061,
"Annabelle,Katusha",403548424,AWQ4M1,2005,TDJ4M1,1032,EMPTY,Cafeteria,EMPTY,Cafeteria,ADA4M1,1070,FSF1O1,1060,ENG4U1,2010A,ESLEO1,1063,
"Fayth,Therese",449670091,TEJ4M1,1032,BBB4M1,2027,SCH4U1,1044,MHF4U1,PB3,SPH4U1,2044,MCV4U1,PB4,ENG4U1,2010A,ICS4U1,2038,
"Harmonie,Gertruda",435546355,SNC1D1,1050,SNC1D1,2023,CGC1P1,1061,AVI1O1,2004,MTH1W1,2010A,FSF1P1,2024A,TIJ1O1,2002A,PAI1O1,2028,
"Riannon,Joye",479026567,EMPTY,Cafeteria,SPARE,Cafeteria,EMPTY,Cafeteria,EMPTY,Cafeteria,EMPTY,Cafeteria,SPARE,Cafeteria,SPARE,Cafeteria,SPARE,Cafeteria,
"Lesly,Othella",445926296,SNC1DG,2011,ENG1DG,1059,AVI1O1,2004,FSF1DG,1059,ENG1DG,2027,ICS2OG,2038A,CGC1DG,2026,MTH1WG,2026,
"Alie,Vivyan",438610730,MCR3U6,2025,BMI3C1,1061,CIA4U1,PB4,ENG3UE,1063,BOH4M1,PB9,BBB4M1,2027,BAF3M1,2024,SPH3U1,2023,
"Susanetta,Jane",409168242,ENG1DG,2027,FSF1D1,1033,AMI1O1,1069,AMI1O4,1069,FSF1D1,1033,TIJ1O1,2002A,CGC1DG,2026,PPL1O9,1024A,
"Elfrieda,Oralie",429328512,MHF4U1,PB5,SPARE,Cafeteria,SCH4U1,2023,PSK4U1,1061,HFA4U1,1014,SBI4U1,1055,HFA4U1,1014,ENG3U1,2008,
"Gisella,Josefina",454031895,SNC1D7,1065,FSF1D1,1033,PPL1O8,1024B,CGC1D1,2010,AVI1O1,2004,ADB2O1,1070,MTH1W7,1065,ENG1D1,2035,
"Sydel,Dian",463784638,SNC1D7,1065,CGC1D1,2010,ENG1D1,2035,AMI1O4,1069,FSF1D2,PB2,ADB2O1,1070,MTH1W7,1065,PAI1O1,2028,
"Regina,Thomasina",434759922,ENG4U1,2010A,MHF4U1,PB5,SCH4U1,2023,ENG4U1,2006,ADA4M1,1070,ENG4U1,2006,HFA4U1,1014,SPARE,Cafeteria,
"Camille,Pearl",422488112,AVI2O1,2004,HFN2O1,2024A,AWC3O1,2005,ENG2D1,1059A,CHC2D1,2036,SNC2D1,1035,MPM2D1,2008,TGJ2O1,1032,
"Val,Cicily",435394769,SPH3U1,1050,PPL3O9,1024B,ENG3U1,2009,ICS3U1,2038,SCH3U1,2023,EMPTY,Cafeteria,SBI3U1,1031,MCR3U1,2037,
"Tiffany,Gaby",486988837,CLN4U1,PB9,BAT4M1,1062,SPARE,Cafeteria,IDC4U1,PB8,SPARE,Cafeteria,SPARE,Cafeteria,CPW4U1,PB5,SPARE,Cafeteria,
"Erina,Margareta",445213614,AWQ4M1,2005,COP3X#,2001,MHF4U1,PB5,IDC4U1,PB8,SPH4U1,2044,SPARE,Cafeteria,AVI4M1,2005,SPARE,Cafeteria,
"Kori,Suzette",479743409,ENG2D1,1034,SNC2D1,1036,BBI2O1,PB10,MPM2D1,2007,ICS2O1,2038,CIVCAR,PB11,CHC2D1,2037,HFN2O1,1014,
"Kaitlyn,Feodora",468212418,CIVCAR,PB11,SNC2D1,1035,ENG2D1,1034,BBI2O1,PB10,EMPTY,Cafeteria,MPM2D1,2007,CHC2D1,2036,PAI2O1,PB6,
"Lorrie,Valenka",446991246,MCR3U6,2025,FSF2D1,2028,HFN2O1,1014,CHC2D1,1061,ENG2D1,1059A,MPM2D1,2007,SNC2D2,1044,CIVCAR,PB11,
"Beitris,Ertha",459016817,MCR3U1,2037,MHF4U1,PB2,DCO3OC,2028,SPH3U1,1059,EMPTY,Cafeteria,SCH3U1,2023,SBI3U1,1031,DCO3OC,1059,
"Teresa,Agatha",435460295,SBI4U1,1055,SPARE,Cafeteria,HHG4M1,1062,SPARE,Cafeteria,SCH4U1,1044,IDC4UE,PB8,MCV4U1,PB4,SPARE,Cafeteria,
"Janifer,Guglielma",481062299,EMPTY,Cafeteria,EMPTY,Cafeteria,EMPTY,Cafeteria,SPARE,Cafeteria,EMPTY,Cafeteria,EMPTY,Cafeteria,EMPTY,Cafeteria,SPARE,Cafeteria,
"Selle,Hazel",478387636,ICS4UE,2038A,SPH3U1,2036,CIE3M1,PB6,SCH3U6,1044,SBI3U6,1031,ENG3UE,1063,BAF3M1,2024,MCR3U6,2025,
"Carma,Karmen",445352881,ENG1DG,2027,ADA1O1,1070,SNC1DG,2011,FSF1D1,1033,FSF1D1,1033,BTT1O1,1033,TIJ1O1,2002A,MTH1WG,2026,
"Johna,Marjorie",478989746,TEJ3M1,1037,SPH3U1,2036,ICS3U1,2038A,SCH3U6,1044,MCR3U1,2037,CGG3O1,PB6,AMI3M1,1069,ENG3U1,2008,
"Legra,Celestina",436538170,ICS2O1,2038,SNC2D1,1036,ENG2D1,1034,MPM2D1,2007,CHC2D1,2036,CIVCAR,PB11,MPM2D1,2007,HFN2O1,1014,
"Nelly,Wylma",489921655,SBI4U1,1055,SCH4U1,2018,FSF4U1,1060,SBI4U1,2011,HFA4U1,1014,MCV4U1,PB4,BBB4M1,2027,SPARE,Cafeteria,
"Korry,Eveline",472972660,AWQ4M1,2005,BOH4M1,PB9,IDC4UE,PB8,SPARE,Cafeteria,HHG4M1,1062,AWC4M1,2005,SBI4U1,1055,ENG4U1,2006,
"Karlotte,Letizia",441936656,MCR3U6,2025,ICS3U6,2038A,SPARE,Cafeteria,SCH3U6,1044,SBI3U6,1031,DCO3OC,2028,SPH3U1,2018,ENG3U1,2009,
"Pattie,Cherilyn",477556017,BAF3M1,2024,ENG4U1,2007,TDJ3M1,1037,SBI3U1,1031,HSP3U1,2024A,CGG3O1,PB6,MCR3U1,PB6,SPH3U1,2023,
"Rosa,Marie-Jeanne",462531291,CLU3M1,1059,MCR3U1,PB10,SCH3U1,1044,AWL3M1,2005,CLU3M1,1059,HFC3M1,1014,HSP3U1,2024A,SBI3U1,1031,
"Letta,Correna",465681034,MHF4U1,PB2,MDM4U1,2025,SCH4U1,2023,MDM4U1,2025,ENG4U1,2006,SPARE,Cafeteria,AVI4M1,2005,MCV4U1,PB4,
"Eleen,Ericha",481844725,MPM2D1,2008,CIVCAR,PB11,HFN2O1,1014,ENG2D1,1034,SNC2D1,1035,CHC2D1,2036,BBI2O1,PB10,AVI2O1,2004,
"Joella,Leigha",489946214,ENG4C1,PB3,COP3X#,2001,SPARE,Cafeteria,GLE4O1,1060,EMPTY,Cafeteria,EMPTY,Cafeteria,SPARE,Cafeteria,EMPTY,Cafeteria,
"Korie,Oralie",454208068,SCH4U1,2023,SPARE,Cafeteria,MHF4U1,PB3,ENG4U1,2006,SPARE,Cafeteria,MCV4U1,PB3,SBI4U1,1055,SPH4U1,2044,
"Josepha,Sue",402552487,MPM2D1,2007,MPM2D1,2008,CIVCAR,PB11,ENG2D1,1059A,ICS2O1,2038,SNC2D1,1035,TEJ2O1,1037,AVI2O1,2004,
